Team,Opp1,Home1,CS1%,Opp2,Home2,CS2%,Opp3,Home3,CS3%,Opp4,Home4,CS4%,Opp5,Home5,CS5%,Opp6,Home6,CS6%
Arsenal,WOL,H,56%,EVE,A,42%,BHA,H,43%,AVL,H,44%,BOU,A,36%,LIV,H,35%
Aston Villa,WHU,A,31%,MUN,H,25%,CHE,A,15%,ARS,A,14%,NFO,H,35%,CRY,A,23%
Bournemouth,MUN,A,15%,BUR,H,43%,BRE,A,21%,CHE,A,12%,ARS,H,18%,TOT,H,29%
Brentford,LEE,H,33%,WOL,A,30%,BOU,H,26%,TOT,H,29%,EVE,A,23%,SUN,H,36%
Brighton,LIV,A,13%,SUN,H,39%,ARS,A,13%,WHU,A,30%,BUR,H,45%,MCI,A,9%
Burnley,FUL,H,21%,BOU,A,11%,EVE,H,22%,NEW,H,15%,BHA,A,10%,MUN,H,13%
Chelsea,EVE,H,40%,NEW,A,22%,AVL,H,33%,BOU,H,34%,MCI,A,13%,FUL,A,30%
Crystal Palace,MCI,H,17%,LEE,A,30%,TOT,H,33%,FUL,H,35%,NEW,A,19%,AVL,H,30%
Everton,CHE,A,15%,ARS,H,21%,BUR,A,37%,NFO,A,27%,BRE,H,32%,WOL,H,42%
Fulham,BUR,A,34%,NFO,H,32%,WHU,A,28%,CRY,A,20%,LIV,H,18%,CHE,H,20%
Leeds,BRE,A,20%,CRY,H,26%,SUN,A,27%,LIV,A,10%,MUN,H,20%,NEW,A,15%
Liverpool,BHA,H,31%,TOT,A,27%,WOL,H,45%,LEE,H,41%,FUL,A,28%,ARS,A,17%
Man City,CRY,A,31%,WHU,H,47%,NFO,A,35%,SUN,A,39%,CHE,H,30%,BHA,H,36%
Man Utd,BOU,H,27%,AVL,A,20%,NEW,H,25%,WOL,H,41%,LEE,A,27%,BUR,A,36%
Newcastle,SUN,A,31%,CHE,H,22%,MUN,A,17%,BUR,A,38%,CRY,H,31%,LEE,H,37%
Nott'm Forest,TOT,H,27%,FUL,A,21%,MCI,H,13%,EVE,H,31%,AVL,A,17%,WHU,A,27%
Spurs,NFO,A,23%,LIV,H,17%,CRY,A,19%,BRE,A,21%,SUN,H,36%,BOU,A,18%
Sunderland,NEW,H,22%,BHA,A,16%,LEE,H,33%,MCI,H,13%,TOT,A,20%,BRE,A,20%
West Ham,AVL,H,18%,MCI,A,4%,FUL,H,23%,BHA,H,18%,WOL,A,23%,NFO,H,24%
Wolves,ARS,A,8%,BRE,H,23%,LIV,A,7%,MUN,A,10%,WHU,H,30%,EVE,A,18%